magnet_depth,ratio,halbach_side,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.01,B,16.970562748477143,126.0,31.5,0,0.1,0.01,2.525409007276935e-06,-0.2154875716258313,-0.001021489881476461,0.000140116602808664,0.0008809465201520122
0.1,0.01,B,16.970562748477143,144.0,36.0,0,0.1,0.01,2.525409007276935e-06,-0.2549621621222901,-0.001073167392981285,0.0004385612618015498,0.0006339516240284292
0.1,0.01,B,16.970562748477143,162.0,40.5,0,0.1,0.01,2.525409007276935e-06,-0.2351372543419694,-0.001047303156086741,0.0007421289119520881,0.0003045712504783838
0.1,0.01,B,16.970562748477143,180.0,45.0,0,0.1,0.01,2.525409007276935e-06,-0.1936124034662682,-0.0009380994440703049,0.0009742363658281811,-3.603800610990919e-05
0.1,0.01,B,16.970562748477143,198.0,49.5,0,0.1,0.01,2.525409007276935e-06,-0.2512639228934784,-0.0007275985165347838,0.001066874831438115,-0.0003385771456788023
0.1,0.01,B,16.970562748477143,216.0,54.0,0,0.1,0.01,2.525409007276935e-06,-0.2492699295667402,-0.0004210454694902864,0.00106370384863312,-0.0006419761378890289
0.1,0.01,B,16.970562748477143,234.0,58.5,0,0.1,0.01,2.525409007276935e-06,-0.1880877425338721,-7.163269970318342e-05,0.0009838873814426309,-0.0009119014236544208
0.1,0.01,B,16.970562748477143,252.0,63.0,0,0.1,0.01,2.525409007276935e-06,-0.2396972933255634,0.0002403244548467173,0.000810689479951749,-0.001051604533399406
0.1,0.01,B,16.970562748477143,270.0,67.5,0,0.1,0.01,2.525409007276935e-06,-0.2543617889421849,0.0005401381374242324,0.0005314135608571384,-0.001072200335210446
0.1,0.99,B,16.970562748477143,90.0,22.5,0,0.1,0.99,2.525408910079893e-06,-0.0005495925557359396,-7.858828124067681e-07,-0.0008274318405444771,0.0008281920242050866
0.1,0.99,B,16.970562748477143,108.0,27.0,0,0.1,0.99,2.525408910079893e-06,2.206800705760364e-05,-0.0002843593555158804,-0.0006437384174099878,0.0009282071151240044
0.1,0.99,B,16.970562748477143,126.0,31.5,0,0.1,0.99,2.525408910079893e-06,-3.018179610148256e-05,-0.0005623576730578953,-0.0003804609520115733,0.0009429549697964136
0.1,0.99,B,16.970562748477143,144.0,36.0,0,0.1,0.99,2.525408910079893e-06,-0.0005538230753143195,-0.0007768726749042156,-9.314841235755787e-05,0.0008701161881828293
0.1,0.99,B,16.970562748477143,162.0,40.5,0,0.1,0.99,2.525408910079893e-06,-3.39437511520213e-05,-0.0009037624008725146,0.0001886631258371345,0.0007150297243067571
0.1,0.99,B,16.970562748477143,180.0,45.0,0,0.1,0.99,2.525408910079893e-06,7.329808407828194e-06,-0.0009476936348269908,0.0004738781345314829,0.0004737260048239227
0.1,0.99,B,16.970562748477143,198.0,49.5,0,0.1,0.99,2.525408910079893e-06,-0.0003765643967590455,-0.0009036798669960574,0.000716116174964445,0.0001875066434792284
0.1,0.99,B,16.970562748477143,216.0,54.0,0,0.1,0.99,2.525408910079893e-06,-0.0003492552382901173,-0.000775702054202143,0.0008703063085511137,-9.448784691317818e-05
0.1,0.99,B,16.970562748477143,234.0,58.5,0,0.1,0.99,2.525408910079893e-06,2.753251545429011e-05,-0.0005618560094703136,0.0009428095968886496,-0.0003807808023739916
0.1,0.99,B,16.970562748477143,252.0,63.0,0,0.1,0.99,2.525408910079893e-06,-0.0001444274914834123,-0.0002835392198526134,0.0009281419310505537,-0.0006444499123480448
0.1,0.99,B,16.970562748477143,270.0,67.5,0,0.1,0.99,2.525408910079893e-06,-0.0005337181179138308,7.882676891334611e-07,0.00082741172094902,-0.0008281742910126987
0.1,0.9246666666666665,B,16.970562748477143,90.0,22.5,0,0.1,0.9246666666666665,2.525894471659545e-06,-0.0163421060697962,-3.795624625989207e-05,-0.0007833834864471886,0.0008212920099458434
